Prompt;Number of statements;Parameters
"Input text:
Textual context: Using 19.6 dm³ of fuel means the vehicle couldn’t have operated more than 2.9 hours.
If PTO time was 4.4 hours, the vehicle's total operation time wouldn't be below 4.4 hours.
Operating for 2.4 hours means idle time couldn't exceed 2.4 hours.
If idle time was 2.1 hours, the vehicle's total operation time wouldn't be below 2.1 hours.
With a total operation time of 9.5 hours, driving time couldn't exceed 9.5 hours.
If driving time was 3.2 hours, the vehicle's total operation time wouldn't be below 3.2 hours.
When PTO-engaged stops are 26, total stops cannot be below 26.
If the load on axle 1 is 7374.0 kg, axle 2 must carry more than 7374.0 kg.
When axle 2 has 11132.1 kg, the payload needs to be under 11132.1 kg.
When the payload is 10879.2 kg, axle 3 needs to be loaded with more than 10879.2 kg.
With PTO time at 0.8, idle time at 0.8, and driving time at 1.1, total operation time can't be below 2.8.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total fuel consumption', 'total operation time'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Covering a distance of 33.1 km means the vehicle couldn't have consumed under 23.1 dm³ of fuel.
Given that PTO time was 3.4 hours, the total operation time couldn't be under 3.4 hours.
Given an operation time of 6.0 hours, idle time wouldn't be more than 6.0 hours.
When idle time was 3.6 hours, the overall operation time couldn't have been under 3.6 hours.
If the vehicle's operation time was 3.8 hours, driving time couldn't be more than 3.8 hours.
With 191 stops, it's impossible for PTO-engaged stops to be above 191.
Given that axle 1 load is 5696.7 kg, axle 2 load needs to be greater than 5696.7 kg.
With axle 3 supporting 6325.8 kg, axle 1 must have less than 6325.8 kg.
With axle 2 supporting 9928.3 kg, the payload must be less than 9928.3 kg.
With a payload of 5340.8 kg, axle 3 must have more than 5340.8 kg.
When PTO time is 2.2, idle time is 2.2, and driving time is 3.0, the total time can't be less than 7.4.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: With a total operation time of 9.4 hours, the vehicle must have used at least 92.8 dm³ of fuel.
Using 80.9 dm³ of fuel means the vehicle couldn’t have operated more than 8.3 hours.
When the total operation time was 4.5 hours, PTO time couldn't have exceeded 4.5 hours.
With a total operation time of 7.9 hours, idle time couldn't surpass 7.9 hours.
With idle time at 2.5 hours, the total operation time couldn't be less than 2.5 hours.
If PTO-engaged stops are 181, then the total stops cannot be fewer than 181.
Given that axle 1 load is 3448.4 kg, axle 2 load needs to be greater than 3448.4 kg.
If axle 3 is loaded with 5239.7 kg, axle 1 must carry less than 5239.7 kg.
If the load on axle 2 is 8714.5 kg, the payload must be under 8714.5 kg.
If the payload is 7488.5 kg, axle 3 must carry more than 7488.5 kg.
If PTO operation is 2.7, idle time is 2.7, and driving time is 3.6, then the overall time can't be less than 8.9.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['idle time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Using 39.3 dm³ of fuel means the vehicle couldn’t have operated more than 4.6 hours.
Given an operation time of 7.5 hours, PTO operation time wouldn't be more than 7.5 hours.
When PTO time was 2.4 hours, the overall operation time couldn't have been under 2.4 hours.
With a total operation time of 8.9 hours, idle time couldn't surpass 8.9 hours.
When the total operation time was 5.1 hours, driving time couldn't have exceeded 5.1 hours.
When driving time was 4.8 hours, the overall operation time couldn't have been under 4.8 hours.
If stops equal 144, PTO-engaged stops can't exceed 144.
When PTO-engaged stops are 126, total stops cannot be below 126.
When axle 2 has 10146.6 kg, axle 1 load needs to be under 10146.6 kg.
When axle 3 has 6388.2 kg, axle 1 load needs to be under 6388.2 kg.
When axle 2 has 8237.5 kg, the payload needs to be under 8237.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total fuel consumption', 'total operation time'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: Consuming 85.7 dm³ of fuel means the vehicle couldn't have traveled beyond 95.7 km.
Given an operation time of 8.1 hours, PTO operation time wouldn't be more than 8.1 hours.
When the total operation time was 8.3 hours, idle time couldn't have surpassed 8.3 hours.
Idle time of 3.9 hours means the total operation time couldn't be less than 3.9 hours.
With a total operation time of 3.8 hours, driving time couldn't exceed 3.8 hours.
If driving time was 4.6 hours, the vehicle's total operation time wouldn't be below 4.6 hours.
When there are 121 stops, PTO-engaged stops cannot surpass 121.
If PTO-engaged stops are 51, then the total stops cannot be fewer than 51.
With axle 2 supporting 10469.6 kg, axle 1 must have less than 10469.6 kg.
If axle 3 is loaded with 6305.6 kg, axle 1 must carry less than 6305.6 kg.
If the payload is 10669.0 kg, axle 2 must bear more than 10669.0 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: When the vehicle's operation time was 5.9 hours, it definitely consumed no less than 54.4 dm³ of fuel.
If the vehicle used 57.8 dm³ of fuel, traveling over 67.8 km is impossible.
When the total operation time was 2.9 hours, PTO time couldn't have exceeded 2.9 hours.
Given that PTO time was 2.5 hours, the total operation time couldn't be under 2.5 hours.
Operating for 2.2 hours means idle time couldn't exceed 2.2 hours.
When the total operation time was 6.1 hours, driving time couldn't have exceeded 6.1 hours.
When driving time was 2.9 hours, the overall operation time couldn't have been under 2.9 hours.
With 278 stops, it's impossible for PTO-engaged stops to be above 278.
If the load on axle 3 is 6901.7 kg, axle 1 must bear less than 6901.7 kg.
When the payload is 6025.1 kg, axle 2 needs to be loaded with more than 6025.1 kg.
With a payload of 1907.5 kg, axle 3 must have more than 1907.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: When the vehicle consumed 52.3 dm³ of fuel, it couldn't have run for more than 5.8 hours.
With a fuel consumption of 15.2 dm³, the vehicle couldn't have traveled more than 25.2 km.
When the total operation time was 5.8 hours, PTO time couldn't have exceeded 5.8 hours.
When the total operation time was 9.8 hours, driving time couldn't have exceeded 9.8 hours.
When driving time was 3.1 hours, the overall operation time couldn't have been under 3.1 hours.
With 135 stops, it's impossible for PTO-engaged stops to be above 135.
When axle 1 has 3291.4 kg load, axle 2 must be loaded with more than 3291.4 kg.
With axle 1 load at 4594.3 kg, axle 3 must have more than 4594.3 kg.
When axle 2 has 9341.2 kg, the payload needs to be under 9341.2 kg.
If the payload is 415.6 kg, axle 3 must bear more than 415.6 kg.
If PTO time is 2.6, idle time is 2.6, and driving time is 3.5, total operation time must be at least 8.7.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Using 60.2 dm³ of fuel means the vehicle couldn’t have operated more than 6.5 hours.
Consuming 21.3 dm³ of fuel means the vehicle couldn't have traveled beyond 31.3 km.
With a total operation time of 9.6 hours, PTO operation time couldn't exceed 9.6 hours.
If PTO time was 3.0 hours, the vehicle's total operation time wouldn't be below 3.0 hours.
Idle time of 2.6 hours means the total operation time couldn't be less than 2.6 hours.
When the total operation time was 7.9 hours, driving time couldn't have exceeded 7.9 hours.
Given that PTO-engaged stops are 66, the stops must be at least 66.
With axle 1 load at 7734.8 kg, axle 2 load should exceed 7734.8 kg.
If the load on axle 1 is 7727.5 kg, axle 3 must carry more than 7727.5 kg.
If the load on axle 2 is 10738.0 kg, the payload must be under 10738.0 kg.
Given a payload of 8388.0 kg, axle 3 load must exceed 8388.0 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load']]
"Input text:
Textual context: If the vehicle ran for 4.4 hours, it is not possible it consumed below 36.5 dm³ of fuel.
With a distance of 89.6 km traveled, it is not feasible the vehicle consumed below 79.6 dm³ of fuel.
Consuming 94.0 dm³ of fuel means the vehicle couldn't have traveled beyond 104.0 km.
Given that PTO time was 1.2 hours, the total operation time couldn't be under 1.2 hours.
If idle time was 1.7 hours, the vehicle's total operation time wouldn't be below 1.7 hours.
If the vehicle's operation time was 2.7 hours, driving time couldn't be more than 2.7 hours.
With axle 1 load at 4265.8 kg, axle 2 load should exceed 4265.8 kg.
If the load on axle 1 is 5956.3 kg, axle 3 must carry more than 5956.3 kg.
Given axle 3 load is 6335.2 kg, axle 1 load must be below 6335.2 kg.
With a payload of 8552.9 kg, axle 3 must have more than 8552.9 kg.
When axle 3 has 5775.1 kg, the payload needs to be under 5775.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Traveling 48.3 km implies the vehicle couldn't have used less than 38.3 dm³ of fuel.
If the vehicle operated for 2.1 hours, PTO time couldn't have been greater than 2.1 hours.
If PTO time was 2.2 hours, the vehicle's total operation time wouldn't be below 2.2 hours.
With a total operation time of 4.2 hours, driving time couldn't exceed 4.2 hours.
If the load on axle 1 is 3810.0 kg, axle 2 must carry more than 3810.0 kg.
If the load on axle 1 is 3738.3 kg, axle 3 must carry more than 3738.3 kg.
Given axle 3 load is 5145.0 kg, axle 1 load must be below 5145.0 kg.
With a payload of 7803.3 kg, axle 2 must have more than 7803.3 kg.
If the load on axle 2 is 11332.4 kg, the payload must be under 11332.4 kg.
When the payload is 1461.3 kg, axle 3 needs to be loaded with more than 1461.3 kg.
When axle 3 has 4712.8 kg, the payload needs to be under 4712.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['total operation time', 'driving time'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: With a distance of 60.3 km traveled, it is not feasible the vehicle consumed below 50.3 dm³ of fuel.
If the vehicle used 23.2 dm³ of fuel, traveling over 33.2 km is impossible.
If PTO time was 2.3 hours, the vehicle's total operation time wouldn't be below 2.3 hours.
Operating for 6.6 hours means idle time couldn't exceed 6.6 hours.
Given that idle time was 2.3 hours, total operation time couldn't be under 2.3 hours.
When the total operation time was 2.3 hours, driving time couldn't have exceeded 2.3 hours.
Given that axle 1 load is 3691.2 kg, axle 2 load needs to be greater than 3691.2 kg.
With axle 1 load at 4173.9 kg, axle 3 must have more than 4173.9 kg.
With axle 3 supporting 5729.6 kg, axle 1 must have less than 5729.6 kg.
If axle 2 is loaded with 9599.1 kg, the payload must be less than 9599.1 kg.
If the load on axle 3 is 6596.2 kg, the payload must be under 6596.2 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['distance', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['axle 3 load', 'payload']]
"Input text:
Textual context: With a distance of 67.4 km traveled, it is not feasible the vehicle consumed below 57.4 dm³ of fuel.
If the vehicle operated for 4.0 hours, PTO time couldn't have been greater than 4.0 hours.
With PTO operation time at 4.1 hours, the total time couldn't be less than 4.1 hours.
Given an operation time of 8.6 hours, idle time wouldn't be more than 8.6 hours.
When the total operation time was 5.6 hours, driving time couldn't have exceeded 5.6 hours.
When there are 217 stops, PTO-engaged stops cannot surpass 217.
Given axle 2 load is 7709.4 kg, axle 1 load must be below 7709.4 kg.
When axle 3 has 5930.5 kg, axle 1 load needs to be under 5930.5 kg.
Given axle 2 load is 7043.1 kg, the payload must be below 7043.1 kg.
If the payload is 1660.7 kg, axle 3 must bear more than 1660.7 kg.
With axle 3 supporting 6943.4 kg, the payload must be less than 6943.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['stops', 'stops with PTO engaged'], ['axle 2 load', 'axle 1 load'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: With a total operation time of 2.2 hours, the vehicle must have used at least 12.4 dm³ of fuel.
Covering a distance of 74.8 km means the vehicle couldn't have consumed under 64.8 dm³ of fuel.
Given that the vehicle consumed 39.4 dm³ of fuel, it wouldn't have gone further than 49.4 km.
Given an operation time of 6.8 hours, PTO operation time wouldn't be more than 6.8 hours.
Operating for 2.1 hours means idle time couldn't exceed 2.1 hours.
If idle time was 2.8 hours, the vehicle's total operation time wouldn't be below 2.8 hours.
If the vehicle's operation time was 3.6 hours, driving time couldn't be more than 3.6 hours.
If PTO-engaged stops are 105, then the total stops cannot be fewer than 105.
With axle 1 load at 2789.7 kg, axle 3 must have more than 2789.7 kg.
When the payload is 414.9 kg, axle 3 needs to be loaded with more than 414.9 kg.
If PTO operation is 1.9, idle time is 1.9, and driving time is 2.6, then the overall time can't be less than 6.4.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Operating for 8.8 hours means the vehicle couldn't have used less than 86.0 dm³ of fuel.
If the vehicle used 26.1 dm³ of fuel, operating for over 3.4 hours is impossible.
Traveling 79.8 km implies the vehicle couldn't have used less than 69.8 dm³ of fuel.
When the vehicle used 95.5 dm³ of fuel, it couldn’t have traveled more than 105.5 km.
If the vehicle's operation time was 8.3 hours, driving time couldn't be more than 8.3 hours.
Given that PTO-engaged stops are 239, the stops must be at least 239.
With axle 1 load at 4375.2 kg, axle 2 load should exceed 4375.2 kg.
With axle 1 load at 6103.4 kg, axle 3 must have more than 6103.4 kg.
With axle 3 supporting 6608.9 kg, axle 1 must have less than 6608.9 kg.
With a payload of 4410.2 kg, axle 3 must have more than 4410.2 kg.
When PTO time is 2.2, idle time is 2.2, and driving time is 2.9, the total time can't be less than 7.3.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: With a total operation time of 6.7 hours, the vehicle must have used at least 62.7 dm³ of fuel.
Using 27.6 dm³ of fuel means the vehicle couldn’t have operated more than 3.6 hours.
Traveling 59.9 km implies the vehicle couldn't have used less than 49.9 dm³ of fuel.
When the total operation time was 7.4 hours, PTO time couldn't have exceeded 7.4 hours.
Given an operation time of 2.1 hours, driving time wouldn't be more than 2.1 hours.
If driving time was 3.6 hours, the vehicle's total operation time wouldn't be below 3.6 hours.
When there are 158 stops, PTO-engaged stops cannot surpass 158.
With 200 PTO-engaged stops, the minimum number of stops is 200.
When the payload is 4195.8 kg, axle 3 needs to be loaded with more than 4195.8 kg.
If the load on axle 3 is 7429.4 kg, the payload must be under 7429.4 kg.
Given PTO operation time of 2.6, idle time of 2.6, and driving time of 3.4, the total time can't be under 8.5.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: With a distance of 88.4 km traveled, it is not feasible the vehicle consumed below 78.4 dm³ of fuel.
Given an operation time of 2.2 hours, idle time wouldn't be more than 2.2 hours.
If idle time was 4.7 hours, the vehicle's total operation time wouldn't be below 4.7 hours.
Given 40 stops, PTO-engaged stops cannot be more than 40.
If axle 2 is loaded with 7160.4 kg, axle 1 must carry less than 7160.4 kg.
If axle 1 supports 3644.8 kg, axle 3 must bear more than 3644.8 kg.
When axle 3 has 6908.8 kg, axle 1 load needs to be under 6908.8 kg.
If the payload is 83.1 kg, axle 2 must carry more than 83.1 kg.
When axle 2 has 8611.0 kg, the payload needs to be under 8611.0 kg.
If the payload is 5653.8 kg, axle 3 must bear more than 5653.8 kg.
If PTO time is 2.6, idle time is 2.6, and driving time is 3.5, total operation time must be at least 8.8.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['distance', 'total fuel consumption'], ['total operation time', 'idle time'], ['idle time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: If the vehicle ran for 4.9 hours, it is not possible it consumed below 42.4 dm³ of fuel.
When the vehicle consumed 86.8 dm³ of fuel, it couldn't have run for more than 8.8 hours.
Operating for 6.0 hours means PTO time couldn't have surpassed 6.0 hours.
If the vehicle's operation time was 9.2 hours, driving time couldn't be more than 9.2 hours.
With 181 stops, it's impossible for PTO-engaged stops to be above 181.
If there are 24 PTO-engaged stops, total stops can't be under 24.
When axle 1 has 7491.8 kg load, axle 2 must be loaded with more than 7491.8 kg.
Given axle 2 load is 11322.4 kg, axle 1 load must be below 11322.4 kg.
With axle 1 load at 2334.4 kg, axle 3 must have more than 2334.4 kg.
Given axle 3 load is 6047.3 kg, axle 1 load must be below 6047.3 kg.
When the payload is 9276.8 kg, axle 3 needs to be loaded with more than 9276.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Operating for 8.3 hours means the vehicle couldn't have used less than 80.6 dm³ of fuel.
Given a fuel consumption of 27.5 dm³, the vehicle wouldn't have functioned for longer than 3.6 hours.
Given that the vehicle consumed 94.9 dm³ of fuel, it wouldn't have gone further than 104.9 km.
Given an operation time of 4.7 hours, PTO operation time wouldn't be more than 4.7 hours.
If there are 89 PTO-engaged stops, total stops can't be under 89.
When axle 2 has 10437.4 kg, axle 1 load needs to be under 10437.4 kg.
When axle 1 carries 2577.2 kg, axle 3 needs to be loaded with more than 2577.2 kg.
If the payload is 8872.8 kg, axle 2 must carry more than 8872.8 kg.
Given axle 2 load is 10977.3 kg, the payload must be below 10977.3 kg.
If the payload is 7329.1 kg, axle 3 must bear more than 7329.1 kg.
If axle 3 is loaded with 5430.0 kg, the payload must be less than 5430.0 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: With a total operation time of 8.8 hours, the vehicle must have used at least 86.0 dm³ of fuel.
PTO operation of 0.8 hours means the total time couldn't be less than 0.8 hours.
With idle time at 4.8 hours, the total operation time couldn't be less than 4.8 hours.
Given an operation time of 9.6 hours, driving time wouldn't be more than 9.6 hours.
Given that driving time was 4.5 hours, the total operation time couldn't be under 4.5 hours.
If PTO-engaged stops are 22, then the total stops cannot be fewer than 22.
If the load on axle 1 is 7681.1 kg, axle 2 must carry more than 7681.1 kg.
If the load on axle 2 is 11312.4 kg, axle 1 must bear less than 11312.4 kg.
If the load on axle 1 is 5007.8 kg, axle 3 must carry more than 5007.8 kg.
When the payload is 1910.1 kg, axle 3 needs to be loaded with more than 1910.1 kg.
With PTO time at 3.0, idle time at 3.0, and driving time at 4.0, total operation time can't be below 9.9.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total operation time', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: When the vehicle consumed 90.6 dm³ of fuel, it couldn't have run for more than 9.2 hours.
When the vehicle used 63.3 dm³ of fuel, it couldn’t have traveled more than 73.3 km.
If the vehicle operated for 9.4 hours, PTO time couldn't have been greater than 9.4 hours.
When PTO time was 1.9 hours, the overall operation time couldn't have been under 1.9 hours.
With idle time at 1.4 hours, the total operation time couldn't be less than 1.4 hours.
When driving time was 1.0 hours, the overall operation time couldn't have been under 1.0 hours.
With 82 stops, it's impossible for PTO-engaged stops to be above 82.
When PTO-engaged stops are 130, total stops cannot be below 130.
With axle 1 load at 2850.2 kg, axle 3 must have more than 2850.2 kg.
When the payload is 1191.4 kg, axle 3 needs to be loaded with more than 1191.4 kg.
When axle 3 has 5440.9 kg, the payload needs to be under 5440.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Given that the vehicle operated for 9.5 hours, it couldn't have consumed under 94.5 dm³ of fuel.
When the vehicle traveled 86.6 km, it definitely consumed no less than 76.6 dm³ of fuel.
With a total operation time of 5.5 hours, PTO operation time couldn't exceed 5.5 hours.
Operating for 5.4 hours means idle time couldn't exceed 5.4 hours.
Given an operation time of 8.8 hours, driving time wouldn't be more than 8.8 hours.
With 23 stops, it's impossible for PTO-engaged stops to be above 23.
Given that PTO-engaged stops are 197, the stops must be at least 197.
Given that axle 1 load is 6785.9 kg, axle 2 load needs to be greater than 6785.9 kg.
If axle 1 supports 2765.5 kg, axle 3 must bear more than 2765.5 kg.
With axle 2 supporting 7796.5 kg, the payload must be less than 7796.5 kg.
When PTO time is 1.6, idle time is 1.6, and driving time is 2.1, the total time can't be less than 5.3.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['axle 2 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: With a distance of 52.5 km traveled, it is not feasible the vehicle consumed below 42.5 dm³ of fuel.
With a fuel consumption of 91.8 dm³, the vehicle couldn't have traveled more than 101.8 km.
Operating for 9.4 hours means PTO time couldn't have surpassed 9.4 hours.
PTO operation of 2.6 hours means the total time couldn't be less than 2.6 hours.
When the total operation time was 5.1 hours, idle time couldn't have surpassed 5.1 hours.
If axle 2 is loaded with 7703.6 kg, axle 1 must carry less than 7703.6 kg.
Given axle 1 load is 5412.0 kg, axle 3 load must exceed 5412.0 kg.
If axle 3 is loaded with 6062.2 kg, axle 1 must carry less than 6062.2 kg.
When the payload is 9096.0 kg, axle 3 needs to be loaded with more than 9096.0 kg.
Given axle 3 load is 5383.5 kg, the payload must be below 5383.5 kg.
When PTO time is 2.0, idle time is 2.0, and driving time is 2.7, the total time can't be less than 6.8.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";11;[['distance', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
